arg-id,x,y,cluster-level-1-id,cluster-level-2-id,argument
A321_0,3.752502,2.2851691,1_2,2_12,"AI should be in line with democratic principles, but it"
A321_1,3.9494295,2.7805555,1_2,2_12,"in line with democratic principles, but it is not a"
A341_0,3.697563,0.6690673,1_3,2_6,"Public awareness, education, and participation around AI and the environment"
A341_1,4.307065,-0.06979076,1_3,2_3,and participation around AI and the environment need to be
A340_0,1.4887308,2.234861,1_1,2_0,The benefits and risks of AI systems should be equitably
A340_1,0.7082556,2.0343456,1_1,2_7,"risks of AI systems should be equitably distributed, not concentrated"
A339_0,4.222655,0.4625052,1_3,2_6,AI should not automate or control critical environmental decisions without
A339_1,4.676628,0.09077878,1_3,2_3,automate or control critical environmental decisions without human oversight.
A338_0,1.7011223,1.2043366,1_5,2_11,"Caution and care, not speed, should guide the development and"
A338_1,2.7792227,1.4800755,1_2,2_10,"not speed, should guide the development and deployment of transformative"
A338_2,3.4353027,0.12629288,1_3,2_9,guide the development and deployment of transformative AI applications.
A337_0,1.3104005,0.9287144,1_5,2_11,"AI systems should promote justice, empowerment, and environmental stewardship, not"
A337_1,4.4755015,-0.5379462,1_3,2_3,"promote justice, empowerment, and environmental stewardship, not just efficiency and"
A337_2,4.955568,-0.012089195,1_3,2_3,"and environmental stewardship, not just efficiency and profit."
A336_0,3.2305994,0.025291309,1_3,2_9,AI governance frameworks must include environmental representatives and consider ecological
A336_1,4.599123,0.49353585,1_3,2_6,must include environmental representatives and consider ecological impacts.
A335_0,2.407493,0.15951024,1_5,2_14,"AI should be leveraged to help monitor, model, and ultimately"
A335_1,4.6688967,-0.647683,1_3,2_3,"leveraged to help monitor, model, and ultimately reduce humanity's environmental"
A335_2,4.331299,-0.078283936,1_3,2_3,"monitor, model, and ultimately reduce humanity's environmental footprint."
A334_0,0.7242437,0.6391217,1_5,2_4,AI researchers and developers have an ethical responsibility to consider
A334_1,4.1357026,-0.5847819,1_3,2_3,developers have an ethical responsibility to consider the environmental impacts
A334_2,4.5942354,-0.53001434,1_3,2_3,ethical responsibility to consider the environmental impacts of their work.
A333_0,1.9898789,-1.0558114,1_4,2_1,Comprehensive life cycle assessments should be conducted for AI systems
A332_0,2.4478183,0.2194806,1_5,2_14,AI systems should be designed and deployed with sustainability in
A332_1,1.972952,0.6878373,1_5,2_11,"be designed and deployed with sustainability in mind, considering environmental"
A332_2,4.450367,0.78291816,1_3,2_6,"deployed with sustainability in mind, considering environmental impacts like energy"
A331_0,2.7193635,-0.23725386,1_3,2_9,AI development should encourage innovation & ensure the benefits are
A331_1,1.1552869,1.8430531,1_1,2_7,"encourage innovation & ensure the benefits are accessible to all,"
A330_0,2.756715,-0.42103234,1_3,2_9,AI tech should have a comprehensive risk assessment evaluating not
A329_0,4.7727723,1.4911264,1_2,2_2,Strict data privacy regulations should be in place to protect
A328_0,3.3404045,1.4961754,1_2,2_10,AI should be developed and deployed with a focus on
A327_0,0.92399096,-0.95363694,1_4,2_8,AI technologies should strive to be as energy-efficient as possible
A327_1,4.7424493,-0.5937524,1_3,2_3,strive to be as energy-efficient as possible to mitigate their
A327_2,4.8973384,-0.4187964,1_3,2_3,as energy-efficient as possible to mitigate their environmental impact.
A326_0,3.1446848,2.6891043,1_2,2_12,"While global standards are ideal, it's crucial to have localized"
A326_1,1.3730934,1.0164149,1_5,2_11,"are ideal, it's crucial to have localized AI regulations that"
A325_0,1.8352202,-1.3348931,1_4,2_8,AI development should adhere to a universally accepted ethical framework
A325_1,2.5767915,0.56795895,1_2,2_5,adhere to a universally accepted ethical framework that prioritizes human
A325_2,4.1953216,0.48988995,1_3,2_6,universally accepted ethical framework that prioritizes human well-being and environmental
A324_0,2.2290127,-0.6613881,1_4,2_1,The governance of AI should involve a diverse set of
A324_1,1.6911124,0.42408457,1_5,2_14,"AI should involve a diverse set of stakeholders, including civil"
A323_0,0.40907314,1.263624,1_1,2_7,There should be a concerted effort to educate the public
A323_1,3.977617,1.6481553,1_2,2_2,"a concerted effort to educate the public about the capabilities,"
A322_0,0.7082776,-0.12568244,1_5,2_4,All entities involved in AI development should disclose the methodologies
A322_1,0.50649923,-0.52900213,1_5,2_4,in AI development should disclose the methodologies and data sets
A322_2,2.1858559,2.3524523,1_1,2_0,"should disclose the methodologies and data sets they use, to"
A295_0,4.5809174,2.764894,1_2,2_2,Governments must expand access to data while protecting privacy to
A295_1,2.036497,-0.6511308,1_4,2_1,access to data while protecting privacy to enable AI for
A295_2,0.31971747,0.50911963,1_5,2_4,while protecting privacy to enable AI for good.
A320_0,4.3066583,0.19534801,1_3,2_3,Global cooperation on AI governance is crucial to manage environmental
A319_0,2.8067348,0.25390118,1_3,2_9,"To realize sustainability benefits, AI deployment must respect nature and"
A319_1,1.8456292,-0.15687777,1_5,2_14,"benefits, AI deployment must respect nature and human dignity."
A318_0,4.2004495,0.101319075,1_3,2_3,AI can drive optimization but also increased consumption - sustainable
A317_0,3.0210083,-0.2898272,1_3,2_9,"AI has potential environmental risks we must monitor and mitigate,"
A317_1,4.7695065,-0.8187821,1_3,2_3,"environmental risks we must monitor and mitigate, like energy usage"
A316_0,4.7889814,1.5342913,1_2,2_2,Robotics and automation can reduce mining impacts but may increase
A316_1,4.8079343,-0.80613124,1_3,2_3,can reduce mining impacts but may increase energy demands -
A315_0,1.9550605,1.6037947,1_5,2_11,AI modeling of extreme weather helps societies build resilience and
A315_1,4.5316133,-0.024037886,1_3,2_3,extreme weather helps societies build resilience and adapt to climate
A315_2,4.885532,0.57291615,1_3,2_6,societies build resilience and adapt to climate change.
